HIGH|internal/verify/syntaxguard.go:55|jsonKeyLineRe (`^\s*"[^"]*"\s*:`) uses a non-escape-aware character class, so a JSON object whose ONLY member key contains an escaped quote (e.g. "a\"b": 1) does not match. looksLikeNonGoBraces then returns false, the block-brace signal fires, and the single-key escaped-quote JSON object is spuriously flagged invalid_syntax — the same false-positive class Epic 7.5 set out to close. Verified empirically: validateGoFixSyntax returns "illegal label declaration". Multi-key objects are unaffected because a sibling clean-key line still matches, so blast radius is narrow. (disagreement: LOW vs HIGH)|Widen jsonKeyLineRe to tolerate backslash-escapes in the key using an escape-aware character class (allow a non-quote/non-backslash char OR a backslash-escaped char between the quotes; RE2-safe, no backtracking). Add a single-key fixture {\n  "a\"b": 1\n} to syntaxguard_test.go asserting NoError. Alternatively accept and document the boundary as a known narrow limitation.|maintainability|15|code-review|agent,otto,greta,Residual FP for `{"a\"b":1}`; conservative-recall tolerant,bruce,claude,Regex `[^"]*` cannot match `\"` in keys like `"foo\"bar":`|HIGH
HIGH|internal/verify/syntaxguard_test.go:1365|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1372|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1379|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1386|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1393|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1400|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1407|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1414|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1421|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1428|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1435|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1442|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1449|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1456|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1463|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1470|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1477|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1484|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1491|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1498|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1505|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1512|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1519|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1526|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1533|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1540|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1547|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1554|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1561|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1568|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1575|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1582|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1589|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1596|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1603|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1610|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1617|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1624|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1631|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1638|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1645|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1652|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1659|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1666|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1673|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1680|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1687|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1694|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1701|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1708|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1715|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1722|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1729|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1736|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1743|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1750|Inconsistent test function spacing|Add blank line after test function|maintainability=1|0|code-review|bob2|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1757|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1764|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1771|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1778|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1785|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1792|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1799|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1806|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1813|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1820|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1827|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1834|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1841|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1848|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1855|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1862|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1869|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1876|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1883|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1890|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1897|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1904|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1911|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1918|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1925|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1932|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1939|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1946|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1953|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1960|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1967|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1974|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1981|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1988|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1995|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2002|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2009|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2016|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2023|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2030|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2037|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2044|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2051|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2058|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2065|Inconsistent test function spacing|Add blank line after test function|maintainability=1|0|code-review|bob2|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2072|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2079|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2086|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2093|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2100|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2107|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2114|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2121|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2128|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2135|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2142|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2149|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2156|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2163|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2170|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2177|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2184|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2191|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2198|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2205|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2212|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2219|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2226|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2233|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2240|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2247|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2254|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2261|Inconsistent test function spacing|Add blank line after test function|maintainability=1|0|code-review|bob2|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2268|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2275|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2282|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2289|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2296|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2303|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2310|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2317|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2324|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2331|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2338|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2345|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2352|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2359|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2366|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2373|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2380|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2387|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2394|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2401|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2408|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2415|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2422|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2429|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2436|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2443|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2450|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2457|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2464|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2471|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2478|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2485|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2492|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2499|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2506|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2513|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2520|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2527|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2534|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2541|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2548|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2555|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2562|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2569|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2576|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2583|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2590|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2597|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2604|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2611|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2618|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2625|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2632|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2639|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2646|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2653|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2660|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2667|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2674|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2681|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2688|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2695|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2702|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2709|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2716|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2723|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2730|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2737|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2744|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2751|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2758|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:2765|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
